Asset,frequency,start,end,Record_exist,Record_missing
EURDKK,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURDKK,Hourly,05/06/2019 03:00,07/08/2019 02:00,1075,7
EURDKK,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURDKK,Minutely,02/08/2019 05:17,07/08/2019 02:43,2051,2112
EURDKK,Minutes_15,23/07/2019 12:30,07/08/2019 02:30,966,51
EURDKK,Minutes_30,09/07/2019 00:30,07/08/2019 02:30,998,16
EURDKK,Minutes_5,25/07/2019 14:35,07/08/2019 02:40,2039,410
EURDKK,Weekly,26/10/2003 00:00,04/08/2019 00:00,824,0
EURGBP,Daily,21/05/2015 00:00,07/08/2019 00:00,1092,239
EURGBP,Hourly,27/02/2019 08:00,07/08/2019 02:00,2166,568
EURGBP,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURGBP,Minutely,05/08/2019 15:05,07/08/2019 02:45,2069,72
EURGBP,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURGBP,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURGBP,Minutes_5,29/07/2019 02:35,07/08/2019 02:45,2018,1
EURGBP,Weekly,12/05/2002 00:00,04/08/2019 00:00,900,0
EURHKD,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURHKD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURHKD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURHKD,Minutely,05/08/2019 15:40,07/08/2019 02:45,2073,33
EURHKD,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURHKD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURHKD,Minutes_5,29/07/2019 02:25,07/08/2019 02:45,2016,5
EURHKD,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
EURHUF,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURHUF,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURHUF,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURHUF,Minutely,05/08/2019 14:10,07/08/2019 02:30,2051,130
EURHUF,Minutes_15,23/07/2019 23:00,07/08/2019 02:30,971,4
EURHUF,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURHUF,Minutes_5,26/07/2019 23:45,07/08/2019 02:30,2008,42
EURHUF,Weekly,25/01/2004 00:00,04/08/2019 00:00,811,0
EURJPY,Daily,07/05/2015 00:00,07/08/2019 00:00,1102,239
EURJPY,Hourly,20/02/2019 08:00,07/08/2019 02:00,2339,515
EURJPY,Hours_4,29/08/2018 08:00,07/08/2019 00:00,1457,5
EURJPY,Minutely,05/08/2019 15:06,07/08/2019 02:45,2074,66
EURJPY,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURJPY,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURJPY,Minutes_5,29/07/2019 02:25,07/08/2019 02:45,2018,3
EURJPY,Weekly,12/05/2002 00:00,04/08/2019 00:00,900,0
EURNOK,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURNOK,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURNOK,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURNOK,Minutely,05/08/2019 16:14,07/08/2019 02:45,2069,3
EURNOK,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURNOK,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURNOK,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2016,2
EURNOK,Weekly,07/09/2003 00:00,04/08/2019 00:00,831,0
EURNZD,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURNZD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURNZD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURNZD,Minutely,05/08/2019 16:13,07/08/2019 02:45,2068,5
EURNZD,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURNZD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURNZD,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2017,1
EURNZD,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
EURPLN,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURPLN,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURPLN,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURPLN,Minutely,05/08/2019 16:03,07/08/2019 02:45,2068,15
EURPLN,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURPLN,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURPLN,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2018,0
EURPLN,Weekly,12/05/2002 00:00,04/08/2019 00:00,900,0
EURSEK,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURSEK,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURSEK,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURSEK,Minutely,05/08/2019 16:11,07/08/2019 02:45,2068,7
EURSEK,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURSEK,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURSEK,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2017,1
EURSEK,Weekly,12/05/2002 00:00,04/08/2019 00:00,900,0
EURSGD,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURSGD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURSGD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURSGD,Minutely,05/08/2019 15:52,07/08/2019 02:45,2074,20
EURSGD,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURSGD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURSGD,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2018,0
EURSGD,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
EURTRY,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURTRY,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURTRY,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURTRY,Minutely,05/08/2019 16:17,07/08/2019 02:45,2067,2
EURTRY,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURTRY,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURTRY,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2018,0
EURTRY,Weekly,18/02/2007 00:00,04/08/2019 00:00,651,0
EURUSD,Daily,07/05/2015 00:00,07/08/2019 00:00,1102,239
EURUSD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURUSD,Hours_4,21/12/2009 00:00,07/08/2019 00:00,6946,3630
EURUSD,Minutely,22/04/2019 01:52,07/08/2019 02:45,4628,35285
EURUSD,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURUSD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURUSD,Minutes_5,29/07/2019 02:30,07/08/2019 02:45,2016,4
EURUSD,Weekly,12/05/2002 00:00,04/08/2019 00:00,900,0
EURZAR,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
EURZAR,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
EURZAR,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
EURZAR,Minutely,05/08/2019 16:05,07/08/2019 02:45,2067,14
EURZAR,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
EURZAR,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
EURZAR,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2017,1
EURZAR,Weekly,30/05/2004 00:00,04/08/2019 00:00,793,0
FR40EUR,Daily,06/05/2015 00:00,06/08/2019 00:00,1091,250
FR40EUR,Hourly,31/01/2019 09:00,06/08/2019 22:00,1834,1351
FR40EUR,Hours_4,02/05/2018 08:00,06/08/2019 20:00,1292,679
FR40EUR,Minutely,08/05/2019 15:54,06/08/2019 22:59,6217,15957
FR40EUR,Minutes_15,11/04/2019 13:00,06/08/2019 22:45,2056,2440
FR40EUR,Minutes_30,18/03/2019 10:00,06/08/2019 22:30,2116,2034
